"",,EXAME VISUAL (COR)
vinho,variação,descrição
"",Incolor,"Com pouca ou nenhuma cor, similar à água."
"",Verdoso,Amarelo-claro com reflexos verdes.
"",Palha,Amarelo-claro com reflexos palha.
Branco,Amarelo,"Amarelo definido, sem reflexos."
"",Amarelo-ouro,Amarelo mais intenso.
"",Âmbar,"Amarelo-escuro, similar ao âmbar."
"",Pardo,"Amarelo-escuro, com reflexos marrons."
"",Claro,"Incolor, com reflexos rosa ou violeta."
Rosado,Rosa-claro,Similar à flor em tonalidade mais clara.
"",Laranja,"Similar à fruta, mais intenso que o anterior."
"",Púrpura,Característica de vinho jovem.
"",Violáceo,Vermelho tendente ao violeta.
Tinto,Retinto,Púrpura ou violáceo mais escuro.
"",Rubi,Semelhante à pedra.
